id	is_closed	name	province	city	detail_addr	tel	business_hours	holiday	type	grade	homepage	latitude	longitude	menu	zip	parking	tel2	distance	rough_map_desc	price	
1	false	러빙헛 - SM점	수도권	서울	서울 강남구 개포 4동 1229-10	02-576-9637	12:00 ~ 02:30, 18:00 ~ 21:00		뷔페	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=18&county=%EC%84%9C%EC%9A%B8&lang=&city=%EA%B0%9C%ED%8F%AC%EB%8F%99	37.476561	127.046207	퓨전 뷔페식	135-240	1시간 무료	02-576-9638	100		13,000원(6세 ~ 초등생: 8,000원)	
2	false	러빙헛 - 본점	수도권	서울	서울 강남구 개포동 1218-16 1층	02-576-2158	11:00 ~ 22:00	설날, 추석	카페	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=56&page=0&county=%EC%84%9C%EC%9A%B8&lang=&city=%EA%B0%9C%ED%8F%AC%EB%8F%99	37.476874	127.049415	케익, 쿠키, 빵, 햄버거, 채식 상품 등		주차 공간 협소		200		약 5,000원 내외	
3	false	러빙헛 - 신촌점	수도권	서울	서울 서대문구 창천동 33-10호 1층	02-333-8088			주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=13&county=%EC%84%9C%EC%9A%B8&lang=&city=%EC%8B%A0%EC%B4%8C	37.558669	126.936765	콩까스, 두개장 등	120-834	주변 유료 주차장 이용(홈페이지 참조)				5,000원 내외	
6	false	러빙헛 - 수내점	수도권	분당	경기 성남시 분당구 수내동 63-1	031-713-0211	10:00 ~ 21:00	일요일 휴무	카페	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=39&page=0&county=%EB%B6%84%EB%8B%B9&lang=&city=	37.370147	127.122709	음료, 비건 제품					금산프라자 1층		
7	false	러빙헛 - 아차산점	수도권	서울	서울 광진구 구의동 53-10	02-453-2112	11:30 ~ 15:00, 18:00 ~ 21:00		주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=15&county=서울&lang=&city=	37.552237	127.089903	콩요리, 채식출장뷔페, 도시락	143-200				아차산역	5,000~16,000	
9	false	러빙헛 - 티엔당점	수도권	서울	서울 동작구 사당동 218	070-8982-8501	11:00 ~ 22:00		주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=64&page=0&county=%EC%84%9C%EC%9A%B8&lang=&city=	37.486773	126.968117	모듬버섯덮밥, 캘리포니아롤, 볶음밥 등					남성역 3번 출구 총신대 방향 약 300미터 지점		
11	false	러빙헛 - 죽전점	수도권	용인	경기도 용인시 기흥구 보정동 1199-8	031-889-4860	11:00 ~ 21:00	1,3 번째 수요일 휴무	주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=38&page=0&county=%EC%9A%A9%EC%9D%B8&lang=&city=%EB%B3%B4%EC%A0%95%EB%8F%99	37.322189	127.112825	된장찌개, 한식 코스요리 등					1층, 죽전역 - 마을버스:660번,68번,69번,720번	된장찌게 7,000원	
12	false	러빙헛 - 청계점	수도권	서울	경기도 의왕시 청계동 986-3 103호	031-423-5203	11:00 ~ 20:30 (일요일은 오후 3시 부터)	일/월요일 휴무	주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=41&page=0&county=%EC%9D%98%EC%99%95&lang=&city=%EC%B2%AD%EA%B3%84	37.39071	126.994553	스파게티, 샌드위치, 비건 상품 판매					4호선 인덕원역 2번 출구 청계마을행 마을버스 덕장교회 하차		
13	false	러빙헛 - 교대점	경상	대구	대구시 남구 대명 2동 1794-7	053-622-7230	10:30 ~ 20:30	매주 일요일 휴무	주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=25&page=0&county=%EB%8C%80%EA%B5%AC&lang=&city=%EB%8C%80%EB%AA%85+2%EB%8F%99	35.852674	128.590221	다양한 메뉴, 가격은 약 5,000원 내외							
14	false	러빙헛 - 고잔점	수도권	안산	경기 안산시 단원구 고잔동 688-3	031-475-5205	11:30 ~ 21:00	토요일 휴무	주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=26&county=%EC%95%88%EC%82%B0&lang=&city=%EA%B3%A0%EC%9E%94%EB%8F%99	37.314262	126.823822	콩까스, 김치찌게, 청국장 등		무료 주차장, 연회석 완비			고잔역 2번 출구		
